"variable_id","device_serial","label","value","value_description","unit","timestamp_str","timestamp","bitfield_gas_supplies_ok","bitfield_ac_mains_power_ok","bitfield_battery_charge_ok","bitfield_manual_circuit_leak_ok","bitfield_vent_circuit_leak_ok","bitfield_flow_controls_ok","bitfield_vent_delivery_ok","bitfield_circuit_o2_cell_checked","bitfield_airway_pressure_sensor_ok","bitfield_barometric_pressure_ok","bitfield_safety_valve_ok","bitfield_exhalation_valve_ok","bitfield_o2_conc_sensor_ok","bitfield_o2_flow_sensor_ok","bitfield_air_flow_sensor_ok","bitfield_expiratory_flow_sensor_ok","bitfield_inspiratory_flow_sensor_ok"
"1131201","000000008204526","High Circuit O2 Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131206","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131205","000000008204526","NIBP alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131203","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1817","000000008204526","O2 Pressure Sensor Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2117","000000008204526","High Airway Pressure Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131207","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131202","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2120","000000008204526","Battery alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2119","000000008204526","Generic Gas Supply Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131208","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2122","000000008204526","Device Hardware Error","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1816","000000008204526","Air Pressure Sensor Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1370","000000008204526","Battery Low Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"296","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"295","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"286","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2546","000000008204526","Low Expired Minute VolumeAlarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2132","000000008204526","AC Power Supply FailureAlarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2973","000000008204526","Patient Disconnected Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"298","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"294","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"32220","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2046","000000008204526","2046","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4289","000000008204526","Battery Charge Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"3258","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1188","000000008204526","Low Expired Tidal Volume Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"297","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"31060","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5713","000000008204526","5713","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6501","000000008204526","O2 Replacement Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72111","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1131204","000000008204526","NIBP alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72220","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"32210","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6287","000000008204526","Patient Circuit Leak Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6992","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"71063","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72210","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6507","000000008204526","Device Display Failure","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72312","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"7974","000000008204526","Low Airway Pressure Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"812","000000008204526","812","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5712","000000008204526","5712","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"811","000000008204526","811","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8023","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8577","000000008204526","Sub-Atmospheric Paw Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"72313","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"826","000000008204526","826","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"822","000000008204526","822","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8024","000000008204526","Circuit O2 Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"3717","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8578","000000008204526","Pmax Reached Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8304","000000008204526","Front Panel Button Error","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8582","000000008204526","Circuit Occlusion Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8589","000000008204526","8589","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8301","000000008204526","8301","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8584","000000008204526","Inspiration Stopped Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"7629","000000008204526","O2 Sensor Disconnected Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8579","000000008204526","Plimit Reached Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8591","000000008204526","Volume Apnea Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8601","000000008204526","8601","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8622","000000008204526","8622","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8581","000000008204526","8581","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8613","000000008204526","8613","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8599","000000008204526","High Respiration Rate Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8611","000000008204526","Fan Failure","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8598","000000008204526","Low Respiration Rate Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8612","000000008204526","Heater Failure","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8596","000000008204526","Low FiO2 Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8606","000000008204526","Battery Failure Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8597","000000008204526","High FiO2 Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8580","000000008204526","PIP Not Achieved Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"9891","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8623","000000008204526","8623","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"810","000000008204526","810","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"92612","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2446","000000008204526","Apnea Activation Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"9584","000000008204526","High Expired Minute VolumeAlarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"955","000000008204526","Battery Running Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"92611","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"386","000000008204526","386","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"2899","000000008204526","2899","i","i","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"584","000000008204526","Ventilation Mode","kk","Volume adaptive BiLevel","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6388","000000008204526","Endotracheal Tube Type","e","Endotracheal","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"5005","000000008204526","Device variable","1","1","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1361","000000008204526","O2 Suction Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"4390","000000008204526","Device Alarm Silence Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1889","000000008204526","Device Standby Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"6389","000000008204526","Device variable","6","6","23","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"3981","000000008204526","Battery Remaining Time","104","104","3","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"1360","000000008204526","Nebulizer Activation Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8627","000000008204526","8627","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"808","000000008204526","Preoxygenation Status","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8626","000000008204526","8626","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"50021","000000008204526","Device Alarm InactivationState","enabled","enabled","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
"8625","000000008204526","8625","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
